127.0.0.1, 2021-08-11 12:09:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome, HTTP/1.1, 200, 0.007004
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome, HTTP/1.1, 200, 0.006980
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome, HTTP/1.1, 200, 0.011994
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome, HTTP/1.1, 200, 0.007971
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001020
127.0.0.1, 2021-08-11 12:09:40, GET, /welcome, HTTP/1.1, 200, 0.007971
127.0.0.1, 2021-08-11 12:09:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:40, GET, /welcome, HTTP/1.1, 200, 0.015983
127.0.0.1, 2021-08-11 12:09:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 13:29:41, GET, /welcome, HTTP/1.1, 200, 0.018974
127.0.0.1, 2021-08-11 13:29:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:08:28, GET, /, HTTP/1.1, 303, 0.000998
127.0.0.1, 2021-08-11 12:08:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.154585
127.0.0.1, 2021-08-11 12:08:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000996
127.0.0.1, 2021-08-11 12:08:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:08:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
